,Title,Average Score,Standard Deviation,Individual Scores,Author-defined Area
1478,Multimarginal Generative Modeling with Stochastic Interpolants,6.0,1.4142135623730951,5;5;8,generative models
1479,Real-Fake: Effective Training Data Synthesis Through Distribution Matching,6.0,1.224744871391589,5;5;6;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1480,RefConv: Re-parameterized Refocusing Convolution for Powerful ConvNets,6.0,1.4142135623730951,8;5;5,"general machine learning (i.e., none of the above)"
1481,Denoising Diffusion Bridge Models,6.0,2.1213203435596424,5;8;3;8,generative models
1482,Noise-Aware Algorithm for Heterogeneous Differentially Private Federated Learning,6.0,1.224744871391589,8;6;5;5,"general machine learning (i.e., none of the above)"
1483,MI-NeRF: Learning a Single Face NeRF from Multiple Identities,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1484,IGTO: Individual Global Transform Optimization for Multi-Agent Reinforcement Learning,6.0,1.0954451150103321,8;5;6;5;6,reinforcement learning
1485,Meta-Evolve: Continuous Robot Evolution for One-to-many Policy Transfer,6.0,1.224744871391589,5;6;8;5,reinforcement learning
1486,Soft Merging of Experts with Adaptive Routing,6.0,0.0,6;6;6,"transfer learning, meta learning, and lifelong learning"
1487,Davidsonian Scene Graph: Improving Reliability in Fine-grained Evaluation for Text-Image Generation,6.0,1.4142135623730951,5;8;5,"representation learning for computer vision, audio, language, and other modalities"
1488,MVSFormer++: Revealing the Devil in the Transformer's Details for Multi-View Stereo,6.0,1.0954451150103321,6;5;5;8;6,"general machine learning (i.e., none of the above)"
1489,Towards Robust Fidelity for Evaluating Explainability of Graph Neural Networks,6.0,2.1213203435596424,8;8;5;3,visualization or interpretation of learned representations
1490,Zero-shot Human-Object Interaction Detection via Conditional Multi-Modal Prompts,6.0,1.224744871391589,5;6;8;5,"representation learning for computer vision, audio, language, and other modalities"
1491,Tree Cross Attention,6.0,1.224744871391589,5;5;8;6,"general machine learning (i.e., none of the above)"
1492,Towards Few-Shot Adaptation of Foundation Models via Multitask Finetuning,6.0,1.224744871391589,6;8;5;5,"transfer learning, meta learning, and lifelong learning"
1493,To Grok or not to Grok: Disentangling Generalization and Memorization on Corrupted Algorithmic Datasets,6.0,1.4142135623730951,5;8;5,visualization or interpretation of learned representations
1494,Mixture of Weak and Strong Experts on Graphs,6.0,1.0,5;6;8;6;5;6,"representation learning for computer vision, audio, language, and other modalities"
1495,Distributional Distance Classifiers for Goal-Conditioned Reinforcement Learning,6.0,1.8973665961010275,8;3;5;8;6,reinforcement learning
1496,TAIL: Task-specific Adapters for Imitation Learning with Large Pretrained Models,6.0,1.0954451150103321,8;6;5;6;5,reinforcement learning
1497,Faithful Explanations of Black-box NLP Models Using LLM-generated Counterfactuals,6.0,0.0,6;6;6;6,visualization or interpretation of learned representations
1498,A Statistical Analysis of Wasserstein Autoencoders for Intrinsically Low-dimensional Data,6.0,0.0,6;6;6;6,learning theory
1499,GOAt: Explaining Graph Neural Networks via Graph Output Attribution,6.0,1.224744871391589,5;8;6;5,"general machine learning (i.e., none of the above)"
1500,$\texttt{NAISR}$: A 3D Neural Additive Model for Interpretable Shape Representation,6.0,0.0,6;6;6;6,visualization or interpretation of learned representations
1501,Idempotent Generative Network,6.0,2.1213203435596424,8;5;3;8,generative models
1502,Multi-task Learning with 3D-Aware Regularization,6.0,0.0,6;6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1503,Emerging Pixel-level Semantic Knowledge in Diffusion Models,6.0,0.0,6;6;6;6,visualization or interpretation of learned representations
1504,Teaching Language Models to Hallucinate Less with Synthetic Tasks,6.0,0.0,6;6;6,"societal considerations including fairness, safety, privacy"
1505,Towards Training Without Depth Limits: Batch Normalization Without Gradient Explosion,6.0,0.0,6;6;6;6,optimization
1506,Talk like a Graph: Encoding Graphs for Large Language Models,6.0,0.0,6;6;6;6,generative models
1507,Generalized Neural Sorting Networks with Error-Free Differentiable Swap Functions,6.0,0.0,6;6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1508,Large-Vocabulary 3D Diffusion Model with Transformer,6.0,0.0,6;6;6,generative models
1509,Boosting Dataset Distillation with the Assistance of Crucial Samples,6.0,0.0,6;6;6,"metric learning, kernel learning, and sparse coding"
1510,An Investigation of Representation and Allocation Harms in Contrastive Learning,6.0,1.4142135623730951,8;5;5,"societal considerations including fairness, safety, privacy"
1511,Frequency-Aware Transformer for Learned  Image Compression,6.0,0.0,6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1512,Distribution Shift-Aware Prediction Refinement for Test-Time Adaptation,6.0,0.0,6;6;6,"transfer learning, meta learning, and lifelong learning"
1513,SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression,6.0,1.224744871391589,5;8;6;5,"general machine learning (i.e., none of the above)"
1514,"TACTiS-2: Better, Faster, Simpler Attentional Copulas for Multivariate Time Series",6.0,1.224744871391589,8;5;6;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1515,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,6.0,2.5495097567963922,5;6;10;3,causal reasoning
1516,LiDAR-PTQ: Post-Training Quantization for Point Cloud 3D Object Detection,6.0,0.0,6;6;6;6,"applications to robotics, autonomy, planning"
1517,Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks,6.0,2.1213203435596424,8;8;5;3,applications to neuroscience & cognitive science
1518,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,6.0,1.224744871391589,6;5;8;5,"representation learning for computer vision, audio, language, and other modalities"
1519,Tailoring Self-Rationalizers with Multi-Reward Distillation,6.0,1.0954451150103321,6;5;8;6;5,"representation learning for computer vision, audio, language, and other modalities"
1520,Dissecting Neural Network Robustness Proofs,6.0,0.0,6;6;6;6,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1521,Learning Pseudo 3D Representation for Ego-centric 2D Multiple Object Tracking,6.0,1.224744871391589,8;6;5;5,"representation learning for computer vision, audio, language, and other modalities"
1522,Dynamic Sparse No Training:  Training-Free Fine-tuning for Sparse LLMs,6.0,0.0,6;6;6,"general machine learning (i.e., none of the above)"
1523,Posterior Sampling Based on Gradient Flows of the MMD with Negative Distance Kernel,6.0,1.224744871391589,6;5;8;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1524,Weaker MVI Condition: Extragradient Methods with Multi-Step Exploration,6.0,1.224744871391589,8;6;5;5,optimization
1525,"Masks, Signs, And Learning Rate Rewinding",6.0,0.0,6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1526,Understanding Transferable Representation Learning and Zero-shot Transfer in CLIP,6.0,1.224744871391589,6;5;5;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1527,Provably Efficient CVaR RL in Low-rank MDPs,6.0,0.0,6;6;6;6,reinforcement learning
1528,Retrieval-Guided Reinforcement Learning for Boolean Circuit Minimization,6.0,1.0954451150103321,8;6;5;5;6,"infrastructure, software libraries, hardware, etc."
1529,"More Context, Less Distraction: Zero-shot Visual Classification by Inferring and Conditioning on Contextual Attributes",6.0,1.224744871391589,8;5;5;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1530,On the Stability of Expressive Positional Encodings for Graph Neural Networks,6.0,1.0954451150103321,6;5;6;5;8,"general machine learning (i.e., none of the above)"
1531,Towards Provably Efficient Learning of Extensive-Form Games with Imperfect Information and Linear Function Approximation,6.0,0.0,6;6;6;6,reinforcement learning
1532,GeoDiffusion: Text-Prompted Geometric Control for Object Detection Data Generation,6.0,1.224744871391589,5;6;5;8,generative models
1533,Adapt and Diffuse: Sample-adaptive Reconstruction via Latent Diffusion Models,6.0,1.224744871391589,5;5;6;8,generative models
1534,Frozen Transformers in Language Models Are Effective Visual Encoder Layers,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1535,Robust Stereo Matching by Risk Minimization,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1536,A Note on Some Statistical Properties of Signature Transform Under Stochastic Integrals,6.0,1.224744871391589,5;5;6;8,"general machine learning (i.e., none of the above)"
1537,Language Model Self-improvement by Reinforcement Learning Contemplation,6.0,1.8973665961010275,5;8;3;8;6,reinforcement learning
1538,Carrying over Algorithm in Transformers,6.0,2.5495097567963922,3;6;5;10,visualization or interpretation of learned representations
1539,VONET: ADVANCING UNSUPERVISED VIDEO OBJECT LEARNING,6.0,1.224744871391589,5;8;6;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1540,Exploring Modality Collaboration with Modality-Agnostic Transformers in Multi-Modal Federated Learning,6.0,3.082207001484488,10;3;8;3,"societal considerations including fairness, safety, privacy"
1541,Robust Training of Federated Models with Extremely Label Deficiency,6.0,0.0,6;6;6;6,"general machine learning (i.e., none of the above)"
1542,Pixel Reweighted Adversarial Training,6.0,1.224744871391589,5;8;5;6,"societal considerations including fairness, safety, privacy"
1543,On Representation Complexity of Model-based and Model-free Reinforcement Learning,6.0,1.4142135623730951,5;5;8,learning theory
1544,Sample-Efficient Learning of POMDPs with Multiple Observations In Hindsight,6.0,0.0,6;6;6;6,reinforcement learning
1545,Alt-Text with Context: Improving Accessibility for Images on Twitter,6.0,1.4142135623730951,5;5;8,"representation learning for computer vision, audio, language, and other modalities"
1546,Vocos: Closing the gap between time-domain and Fourier-based neural vocoders for high-quality audio synthesis,6.0,1.224744871391589,6;5;8;5,generative models
1547,CAMIL: Context-Aware Multiple Instance Learning for Cancer Detection and Subtyping in Whole Slide Images,6.0,1.224744871391589,6;5;5;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
1548,Order-Preserving GFlowNets,6.0,1.0954451150103321,5;6;8;6;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1549,Adding 3D Geometry Control to Diffusion Models,6.0,1.224744871391589,5;5;6;8,"transfer learning, meta learning, and lifelong learning"
1550,Learning Multi-Agent Communication with Contrastive Learning,6.0,1.224744871391589,5;8;6;5,reinforcement learning
1551,SAS: Structured Activation Sparsification,6.0,0.0,6;6;6,"general machine learning (i.e., none of the above)"
1552,Fisher-aware Quantization for DETR Detectors with Critical-category Objectives,6.0,0.0,6;6;6,"societal considerations including fairness, safety, privacy"
1553,Imprecise Label Learning: A Unified Framework for Learning with Various Imprecise Label Configurations,6.0,1.224744871391589,8;5;6;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1554,Conformal Prediction via Regression-as-Classification,6.0,2.1213203435596424,3;8;8;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1555,MAMBA: an Effective World Model Approach for Meta-Reinforcement Learning,6.0,0.0,6;6;6;6,reinforcement learning
1556,Abstractive Summarization through the PRISM of Decoding Strategies,6.0,1.224744871391589,5;6;5;8,datasets and benchmarks
1557,From Bricks to Bridges: Product of Invariances to Enhance Latent Space Communication,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1558,Smooth ECE: Principled Reliability Diagrams via Kernel Smoothing,6.0,0.0,6;6;6;6,"general machine learning (i.e., none of the above)"
1559,Graph2Tac: Learning hierarchical representations of math concepts in theorem proving,6.0,1.224744871391589,5;6;5;8,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1560,Quantifying and Enhancing Multi-modal Robustness with Modality Preference,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1561,Through the Dual-Prism: A Spectral Perspective on Graph Data Augmentation for Graph Classification,6.0,1.224744871391589,5;5;6;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1562,A Long Way To Go: Investigating Length Correlations in RLHF,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1563,BaDExpert: Extracting Backdoor Functionality for Accurate Backdoor Input Detection,6.0,1.224744871391589,5;8;5;6,"societal considerations including fairness, safety, privacy"
1564,Fast-ELECTRA for Efficient Pre-training,6.0,0.0,6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1565,"Tangent Transformers for Composition,Privacy and Removal",6.0,0.0,6;6;6,"transfer learning, meta learning, and lifelong learning"
1566,Targeted Model Inversion: Distilling Style Encoded in Predictions,6.0,1.224744871391589,6;5;8;5,"societal considerations including fairness, safety, privacy"
1567,Early Neuron Alignment in Two-layer ReLU Networks with Small Initialization,6.0,1.224744871391589,5;8;5;6,learning theory
1568,Efficient Heterogeneous Meta-Learning via Channel Shuffling Modulation,6.0,0.0,6;6;6;6,"transfer learning, meta learning, and lifelong learning"
1569,Finite-State Autoregressive Entropy Coding for Efficient Learned Lossless Compression,6.0,0.0,6;6;6;6,"general machine learning (i.e., none of the above)"
1570,Class Incremental Learning via Likelihood Ratio Based Task Prediction,6.0,1.224744871391589,5;8;5;6,"transfer learning, meta learning, and lifelong learning"
1571,Two Heads are Better than One: Towards Better Adversarial Robustness by Combining Transduction and Rejection,6.0,0.0,6;6;6;6,"societal considerations including fairness, safety, privacy"
1572,Understanding and Mitigating Extrapolation Failures in Physics-Informed Neural Networks,6.0,1.224744871391589,5;5;8;6,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1573,R&B: Region and Boundary Aware Zero-shot Grounded Text-to-image Generation,6.0,0.0,6;6;6;6,generative models
1574,The Human-AI Substitution game: active learning from a strategic labeler,6.0,0.0,6;6;6;6,learning theory
1575,Zero-Mean Regularized Spectral Contrastive Learning,6.0,0.0,6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1576,HypeBoy: Generative Self-Supervised Representation Learning on Hypergraphs,6.0,1.224744871391589,5;8;5;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1577,MagicDrive: Street View Generation with Diverse 3D Geometry Control,6.0,1.224744871391589,6;8;5;5,generative models
1578,Manipulating dropout reveals an optimal balance of efficiency and robustness in biological and machine visual systems,6.0,0.0,6;6;6;6,applications to neuroscience & cognitive science
1579,Enhancing Transfer Learning with Flexible Nonparametric Posterior Sampling,6.0,0.0,6;6;6;6,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1580,"The HIM Solution for Legged Locomotion: Minimal Sensors, Efficient Learning, and Substantial Agility",6.0,1.224744871391589,5;8;6;5,"applications to robotics, autonomy, planning"
1581,Incentivized Black-Box Model Sharing,6.0,1.224744871391589,8;5;6;5,"societal considerations including fairness, safety, privacy"
1582,Chain-of-Experts: When LLMs Meet Complex Operations Research Problems,6.0,2.1213203435596424,3;8;8;5,"general machine learning (i.e., none of the above)"
1583,Neural Tangent Kernels Motivate Graph Neural Networks with Cross-Covariance Graphs,6.0,1.4142135623730951,5;5;8,learning theory
1584,Can Large Language Models Infer Causation from Correlation?,6.0,0.0,6;6;6,datasets and benchmarks
1585,Duolando: Follower GPT with Off-Policy Reinforcement Learning for Dance Accompaniment,6.0,2.1213203435596424,8;3;8;5,generative models
1586,The Reversal Curse: LLMs trained on “A is B” fail to learn “B is A”,6.0,0.0,6;6;6;6,generative models
1587,Performance Gaps in Multi-view Clustering under the Nested Matrix-Tensor Model,6.0,1.0954451150103321,6;5;6;8;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1588,Efficient Identification of Direct Causal Parents via Invariance and Minimum Error Testing,6.0,0.0,6;6;6,causal reasoning
1589,Towards Poisoning Fair Representations,6.0,1.8973665961010275,8;6;8;5;3,"societal considerations including fairness, safety, privacy"
1590,Scalable Monotonic Neural Networks,6.0,1.224744871391589,8;5;6;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1591,FedSKU: Defending Backdoors in Federated Learning Through Selective Knowledge Unlearning,6.0,1.224744871391589,8;5;5;6,"societal considerations including fairness, safety, privacy"
1592,How Sparse Can We Prune A Deep Network: A Geometric Viewpoint,6.0,1.224744871391589,6;5;8;5,learning theory
1593,Variance-aware Regret Bounds for Stochastic Contextual Dueling Bandits,6.0,1.224744871391589,5;6;5;8,reinforcement learning
1594,MOFI: Learning Image Representations from Noisy Entity Annotated Images,6.0,1.224744871391589,6;5;8;5,"representation learning for computer vision, audio, language, and other modalities"
1595,Robustifying State-space Models for Long Sequences via Approximate Diagonalization,6.0,0.0,6;6;6;6,"general machine learning (i.e., none of the above)"
1596,Neural Field Classifiers via Target Encoding and Classification Loss,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1597,Window Attention is Bugged: How not to Interpolate Position Embeddings,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1598,LegoNet: Piecing Together and Breaking Apart Sub-Networks for Scalable Multi-task Learning,6.0,1.4142135623730951,5;5;8,"transfer learning, meta learning, and lifelong learning"
1599,Separate and Diffuse: Using a Pretrained Diffusion Model for Better Source Separation,6.0,0.0,6;6;6,generative models
1600,Beyond Spatio-Temporal Representations: Evolving Fourier Transform for Temporal Graphs,6.0,0.0,6;6;6;6,learning on graphs and other geometries & topologies
1601,ZeroFlow: Scalable Scene Flow via Distillation,6.0,1.4142135623730951,5;5;8,"applications to robotics, autonomy, planning"
1602,MatFormer: Nested Transformer for Elastic Inference,6.0,1.224744871391589,8;5;6;5,"representation learning for computer vision, audio, language, and other modalities"
1603,FedGT: Federated Node Classification with Scalable Graph Transformer,6.0,1.4142135623730951,8;5;5,"general machine learning (i.e., none of the above)"
1604,Adapting to Distribution Shift by Visual Domain Prompt Generation,6.0,1.224744871391589,5;6;8;5,"transfer learning, meta learning, and lifelong learning"
1605,Unbalancedness in Neural Monge Maps Improves Unpaired Domain Translation,6.0,0.0,6;6;6;6,generative models
1606,Grokking as the transition from lazy to rich training dynamics,6.0,2.1213203435596424,8;8;3;5,optimization
1607,Generative Sliced MMD Flows with Riesz Kernels,6.0,1.224744871391589,6;8;5;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1608,Prior Mismatch and Adaptation in PnP-ADMM with a Nonconvex Convergence Analysis,6.0,1.224744871391589,8;5;5;6,optimization
1609,Semantic Flow: Learning Semantic Fields of Dynamic Scenes from Monocular Videos,6.0,1.4142135623730951,5;8;5,"representation learning for computer vision, audio, language, and other modalities"
1610,Understanding when Dynamics-Invariant Data Augmentations Benefit Model-free Reinforcement Learning Updates,6.0,2.1213203435596424,8;8;3;5,reinforcement learning
1611,VDT: General-purpose Video Diffusion Transformers via Mask Modeling,6.0,0.0,6;6;6,generative models
1612,Time Series Continuous Modeling for Imputation and Forecasting with Implicit Neural Representations,6.0,1.4142135623730951,8;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1613,Differentially Private Synthetic Data via Foundation Model APIs 1: Images,6.0,1.224744871391589,5;5;8;6,generative models
1614,Continual Learning in Open-vocabulary Classification with Complementary Memory Systems,6.0,1.4142135623730951,8;5;5,"transfer learning, meta learning, and lifelong learning"
1615,Knowledge Storage and Extraction in Language Models (Part A),6.0,1.8973665961010275,3;8;5;6;8,visualization or interpretation of learned representations
1616,Generative Marginalization Models,6.0,1.0954451150103321,6;6;5;5;8,generative models
1617,Offline Reward Inference on Graph: A New Thinking,6.0,0.0,6;6;6,reinforcement learning
1618,Equivariant Graph Neural Operator for Modeling 3D Dynamics,6.0,1.224744871391589,5;6;5;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
1619,Efficient Human-AI Coordination via Preparatory Language-based Convention,6.0,1.224744871391589,5;6;8;5,"general machine learning (i.e., none of the above)"
1620,Model-based Reinforcement Learning for Parameterized Action Spaces,6.0,2.0,5;5;5;10;5,reinforcement learning
1621,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,6.0,2.1213203435596424,8;8;3;5,generative models
1622,Steering No-Regret Learners to Optimal Equilibria,6.0,1.224744871391589,8;5;6;5,reinforcement learning
1623,Seizing Serendipity: Exploiting the Value of Past Success in Off-Policy Actor Critic,6.0,0.0,6;6;6,reinforcement learning
1624,Bayesian Optimization through Gaussian Cox Process Models for Spatio-temporal Data,6.0,0.0,6;6;6,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
1625,SOHES: Self-supervised Open-world Hierarchical Entity Segmentation,6.0,0.0,6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1626,ARM: Refining Multivariate Forecasting with Adaptive Temporal-Contextual Learning,6.0,0.0,6;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1627,Revisiting Data Augmentation in Deep Reinforcement Learning,6.0,0.0,6;6;6;6,reinforcement learning
1628,EHI: End-to-end learning of Hierarchical Index for Efficient Dense Retrieval,6.0,1.224744871391589,5;6;8;5,"representation learning for computer vision, audio, language, and other modalities"
1629,From Matching to Mixing: A Graph Interpolation Approach for SAT Instance Generation,6.0,1.4142135623730951,5;5;8,"general machine learning (i.e., none of the above)"
1630,Machine Unlearning for Image-to-Image Generative Models,6.0,1.224744871391589,8;6;5;5,"societal considerations including fairness, safety, privacy"
1631,Lewis's Signaling Game as beta-VAE For Natural Word Lengths and Segments,6.0,2.1213203435596424,5;8;8;3,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1632,A Quadratic Synchronization Rule for Distributed Deep Learning,6.0,2.1213203435596424,8;3;5;8,optimization
1633,Towards Robust Out-of-Distribution Generalization Bounds via Sharpness,6.0,2.1213203435596424,8;5;3;8,"transfer learning, meta learning, and lifelong learning"
1634,Image Translation as Diffusion Visual Programmers,6.0,0.0,6;6;6;6,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1635,Unlocking Tuning-free Generalization: Minimizing the PAC-Bayes Bound with Trainable Priors,6.0,1.0954451150103321,6;5;5;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1636,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,6.0,1.224744871391589,5;8;6;5,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1637,Yet Another ICU Benchmark: A Flexible Multi-Center Framework for Clinical ML,6.0,1.0954451150103321,6;8;5;6;5,datasets and benchmarks
1638,Towards Understanding the Effect of Pretraining Label Granularity,6.0,0.0,6;6;6,learning theory
1639,Integrating Planning and Deep Reinforcement Learning via Automatic Induction of Task Substructures,6.0,1.224744871391589,5;6;8;5,reinforcement learning
1640,On the Reliability of Watermarks for Large Language Models,6.0,0.0,6;6;6,"societal considerations including fairness, safety, privacy"
1641,SoftTreeMax: Exponential Variance Reduction in Policy Gradient via Tree Expansion,6.0,1.224744871391589,5;8;5;6,reinforcement learning
1642,CityGPT: Generative Transformer for City Layout of Arbitrary Building Shape,6.0,2.1213203435596424,8;5;8;3,generative models
1643,NaviFormer: A Deep Reinforcement Learning Transformer-like Model to Holistically Solve the Navigation Problem,6.0,0.0,6;6;6;6,"applications to robotics, autonomy, planning"
1644,Detecting Pretraining Data from Large Language Models,6.0,1.224744871391589,5;5;8;6,"societal considerations including fairness, safety, privacy"
1645,Bridging the Gap Between Foundation Models and Heterogeneous Federated Learning,6.0,1.4142135623730951,5;5;8,"general machine learning (i.e., none of the above)"
1646,SPTNet: An Efficient Alternative Framework for Generalized Category Discovery with Spatial Prompt Tuning,6.0,0.0,6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1647,Collaborating Heterogeneous Natural Language Processing Tasks via Federated Learning,6.0,1.224744871391589,6;8;5;5,"general machine learning (i.e., none of the above)"
1648,MaGIC: Multi-modality Guided Image Completion,6.0,1.4142135623730951,8;5;5,generative models
1649,AgentBench: Evaluating LLMs as Agents,6.0,1.8973665961010275,5;8;6;8;3,datasets and benchmarks
1650,Towards Foundational Models for Molecular Learning on Large-Scale Multi-Task Datasets,6.0,1.8973665961010275,8;5;8;6;3,learning on graphs and other geometries & topologies
1651,LLMCarbon: Modeling the End-to-End Carbon Footprint of Large Language Models,6.0,2.280350850198276,10;3;6;5;6,"societal considerations including fairness, safety, privacy"
1652,VDC: Versatile Data Cleanser for Detecting Dirty Samples via Visual-Linguistic Inconsistency,6.0,0.0,6;6;6,"societal considerations including fairness, safety, privacy"
1653,Improved Regret Bounds for Non-Convex Online-Within-Online Meta Learning,6.0,0.0,6;6;6;6,"transfer learning, meta learning, and lifelong learning"
1654,Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching,6.0,1.224744871391589,8;5;5;6,"representation learning for computer vision, audio, language, and other modalities"
1655,iHyperTime: Interpretable Time Series Generation with Implicit Neural Representations,6.0,1.224744871391589,5;8;5;6,"representation learning for computer vision, audio, language, and other modalities"
1656,Fast Explanation of RBF-Kernel SVM Models Using Activation Patterns,6.0,1.224744871391589,8;5;6;5,applications to neuroscience & cognitive science
1657,Evaluating model bias requires characterizing model mistakes,6.0,1.224744871391589,8;6;5;5,"societal considerations including fairness, safety, privacy"
1658,What Will My Model Forget? Forecasting Forgotten Examples in Language Model Refinement,6.0,1.224744871391589,8;5;6;5,"transfer learning, meta learning, and lifelong learning"
1659,Adversarial Supervision Makes Layout-to-Image Diffusion Models Thrive,6.0,0.0,6;6;6;6,generative models
1660,Understanding prompt engineering may not require rethinking generalization,6.0,0.0,6;6;6;6,"general machine learning (i.e., none of the above)"
1661,Learning Conditional Invariances through Non-Commutativity,6.0,1.4142135623730951,5;8;5,learning theory
1662,Parametric Augmentation for Time Series Contrastive Learning,6.0,1.0954451150103321,6;5;5;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1663,Scaling physics-informed hard constraints with mixture-of-experts,6.0,0.0,6;6;6;6;6,"applications to physical sciences (physics, chemistry, biology, etc.)"
1664,Stability Analysis of Various Symbolic Rule Extraction Methods from Recurrent Neural Network,6.0,1.4142135623730951,8;5;5,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
1665,Kalman Filter Online Learning from non-Stationary Data,6.0,0.0,6;6;6;6,"transfer learning, meta learning, and lifelong learning"
1666,PoSE: Efficient Context Window Extension of LLMs via Positional Skip-wise Training,6.0,0.0,6;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1667,Clifford Group Equivariant Simplicial Message Passing Networks,6.0,0.0,6;6;6,learning on graphs and other geometries & topologies
1668,AvatarStudio: High-fidelity and Animatable 3D Avatar Creation from Text,6.0,1.4142135623730951,5;8;5,generative models
1669,Score Models for Offline Goal-Conditioned Reinforcement Learning,6.0,0.0,6;6;6;6,reinforcement learning
1670,Analyzing and Mitigating Object Hallucination in Large Vision-Language Models,6.0,1.224744871391589,5;8;6;5,"representation learning for computer vision, audio, language, and other modalities"
1671,Gaining Wisdom from Setbacks: Aligning Large Language Models via Mistake Analysis,6.0,1.224744871391589,8;5;6;5,generative models
1672,GraphCare: Enhancing Healthcare Predictions with Personalized Knowledge Graphs,6.0,0.0,6;6;6,"applications to physical sciences (physics, chemistry, biology, etc.)"
1673,Symmetry Leads to Structured Constraint of Learning,6.0,1.4142135623730951,5;8;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
1674,Reconciling Spatial and Temporal Abstractions for Goal Representation,6.0,1.4142135623730951,5;5;8,reinforcement learning
1675,Error Norm Truncation: Robust Training in the Presence of Data Noise for Text Generation Models,6.0,0.0,6;6;6,"representation learning for computer vision, audio, language, and other modalities"
1676,Cross$Q$: Batch Normalization in Deep Reinforcement Learning for Greater Sample Efficiency and Simplicity,6.0,1.224744871391589,6;5;5;8,reinforcement learning
1677,Fit Like You Sample: Sample-Efficient Generalized Score Matching from Fast Mixing Diffusions,6.0,1.4142135623730951,5;5;8,generative models
1678,Continual Learning in the Presence of Spurious Correlations: Analyses and a Simple Baseline,6.0,1.224744871391589,5;5;8;6,"transfer learning, meta learning, and lifelong learning"
1679,TextField3D: Towards Enhancing Open-Vocabulary 3D Generation with Noisy Text Fields,6.0,1.4142135623730951,5;5;8,generative models
